query,label,paraphrase
میشه ظرفیت درس ها رو از اول انتخاب واحد زیاد قرار بدید؟,4,
یه استادی هست هیچ کلاسیش تشکیل نشده حدود 5 ساله. چرا هنوز بهش کلاس میدید؟,4,
نمیشه یه سیستم رفت و آمد راحتتر از سلف به دانشکده قرار داد؟,4,
در دستشویی های زیرزمین خراب شدن لطفا تعمیر بشن.,4,
یکی از کلاس اپرده پروژکتورش پاره شده. لطفا تعویض بشه.,4,
میشود تعداد کمدها را بیشتر کنید؟,4,
تعداد استادا خیلی کمه میشه چندنفر خوب بیارید؟,4,
به هیچ وجه وسط کرونا داشگاه رو حضوری نکنید.,4,
این نزدیکیا فست فود خوب کجا هست؟,5,
از اینجا چجوری میشه رفت گالریا؟,5,
امروز چندمه؟,5,
اون سگ بزرگه رو تو دانشگاه دیدی؟,5,
کباب سلف چطوره؟,5,
سانس های استخر را میدانید؟,5,
چگونه میتوان به BRT نمایشگاه رفت؟,5,
برای ناهار کجاها میشود رفت؟,5,
ببخشید ساعت چنده؟,5,
فوتبال دیشب را دیدید؟,5,
کسی خودکار من را دیده؟,5,
استاد چندتا ماژیک خواستن.,5,
ببخشید درمانگاه دانشگاه کجاست؟,5,
ساختمونی که کنارمون داره ساخته میشه واسه چیه؟,5,
چند سال هست که دانشکده تو این مکان فعلی قرار دارد؟,5,
کجا میتونم رمز پرتالم رو عوض کنم؟,1,
کمترین میزان واحدی که میتونم بردارم چند تا است؟,1,
چند استاد درس دادهکاوی را ارائه می,1,
پنج شنبه ها تعطیله؟,1,
من ترم یک هستم کمکم کنید.,1,
ترم اول هستم اطلاعاتی ندارم.,1,
ترم آخرم کمکم کنید.,1,
تا چند ترم میتونم این درس رو بردارم؟,1,
لطفا افزایش ظرفیت بدهید.,1,
استاد اجازه برداشتن این درس رو به من داده,1,
میشه 24 واحد برداشت؟,1,
حذف تکدرس کی شروع می,1,
حذف اظطراری نامه پزشک نیاز دارد؟,1,
شرایط مشروط شدن را نمی,1,
میشود در کلاس های بلا استفاده درس خواند؟,2,
مدیر گروه من چه کسی است؟,2,
سلف جمعه ها هم باز است؟,2,
مسئول سلف چه کسی است؟,2,
کلاسها در کدام دانشکده برگزار می,2,
کارگاه کامپیوتر کجاست؟,2,
نمازخانه دانشکده کجا است؟,2,
اتاق مدیر گروه طبقه چندم است؟,2,
زمین فوتبال کدام سمت است؟,2,
برگه,2,
مسئول خوابگاه ها کیست؟,2,
چه کسی مسئول حراست است؟,2,
کمیته انضباطی در کدام طبقه است؟,2,
بوفه برداران تا ساعت چند باز است؟,2,
آموزشکده معماری وهنر کجا است؟,2,
حداکثرچند کتاب میتوانم بگیرم؟,3,
جریمه هم داریم؟,3,
کتاب های رشته کامپیوترموجود است؟,3,
کتابخانه مختلط است؟,3,
تا ساعت چند کتابخانه بازاست؟,3,
از چه ساعتی سالن مطالعه بازاست؟,3,
میتوانم وسایلم را روی میز بگذارم؟,3,
رمز عبورسایت را فراموش کرده,3,
رمز کتابخانه را فراموش کرده,3,
عضویت هزینه دارد؟,3,
چند کتاب قرض گرفته,3,
کارت دانشجویی گم شده است.,3,
میخواهم تسویه کنم.,3,
پرتالم قفل شده است.,3,
نام کاربری من چیست؟,3,
تابلوی کارگاه کامپیوتررا تعمیر کنید.,4,
مسئول سلف بسیار ادم شریفی است.,4,
کیفیت غذا را بالا ببرید.,4,
ساعت کار بوفه را زیاد کنید.,4,
کتاب های کتابخانه را بروز کنید.,4,
صندلی های جدید بسیارخوب است ممنون.,4,
ممنون بابت سرویس دانشگاه.,4,
سرویس خوابگاه پسران نامنظم است.,4,
در محوطه پسران سطل آشغال نیست.,4,
سرمایش خوابگاه خواهران مناسب نیست.,4,
نیمکت های بوفه را تعمیر کنید.,4,
مسئول حراست ادب را رعایت نمیکند.,4,
ممنون بابت آبخوریهای جدید.,4,
پارک دانشگاه چمن ندارد.,4,
لطفا کتابخانه زودتر شروع به کارکند.,4,
کارت دانشجویی ام را حراست گرفته است.,5,
کارت سلف کار نمی,5,
دوشنبه به دلیل شهادت تعطیل است؟,5,
هزینه یک برگه کپی چه قدر است؟,5,
نماز جماعت برگزار می,5,
هدیه روز داتشگاه 1 گیگ اینترنت است.,5,
امروزسلف تعطیل نیست.,5,
لطفا یک غدا برای من رزرو کنید.,5,
بهترین استاد کامپیوتر کیست؟,5,
هزینه باشگاه دانشگاه چه قیمت است؟,5,
استخر دانشگاه فعال است؟,5,
برای نظام وظیفه چه مدارکی لازم است؟,5,
تاریخ کمیسیون من چه زمانی است؟,5,
هزینه آزادسازی مدرک لیسانس چه قدراست؟,5,
خوابگاه به شبانه ها میدهند؟,5,
کمترین تعداد واحد چند عدد است؟,1,
ایا میتوان کمتر از 12 واحد اخذ کرد؟,1,
حذف ترم چیست؟,1,
چگونه میتوانم مرخصی بگیرم؟,1,
لطفا برگه من را امضا کنید.,1,
کجا میتوانم رییس حراست را ببینم.,2,
سرویس بهداشتی دانشکده کجا است؟,2,
آیا همه کلاس ها دیتا شو دارد؟,2,
کلاس داده کاوی کجا برگزار می,2,
مرکز بهداشت کجا است؟,2,
ایا میتوان با سرور دانشگاه ماین کرد؟,3,
اوبونتو رو میتوانم از اینترانت دانشگاه دانلود کرد؟,3,
محدودیت سرعت را چگونه بردارم؟,3,
اکانت دکتری حجم اضافه تری دارد؟,3,
کتاب موریس مانو موجود است؟,3,
لطفا نرم افزار های مفید را روی سرور قرار دهید.,4,
ممنون بابت اینترنت هدیه.,4,
گل کاری محوطه ایده جذابی بود.,4,
اگر ممکنه کلاس ها تا ساعت 6 باشد.,4,
اتوبوس به مرکز شهر قرار دهید.,4,
دستگاه قهوه چگونه کار می,5,
بن دانشجویی داده می,5,
آیا استفاده از تعاونی برای همه امکان پذیر است؟,5,
آیا سیگار کشیدن در دانشگاه ممنوع است؟,5,
وام دانشجویی چه شرایطی دارد؟,5,
از کجا میتوانم ریز نمرات را بگیرم؟,1,
برای ثبت نام چه مدارکی لازم است؟,1,
مهلت حذف اضطراری تا چه زمانی است؟,1,
آیا حذف ترم شرایطی دارد؟,1,
از کجا میتوانم پیش نیازها و هم نیازی های درس ها را ببینم؟,1,
از کجا میتوانم بفهمم چه مدارکی ناقص است؟,1,
شهریه هر واحد درسی در ترم تابستان چقدر است؟,1,
فرم اشتغال به تحصیل را چگونه بگیرم؟,1,
سقف تعداد واحد مجاز هر ترم چند واحد میباشد؟,1,
هر ترم چند واحد میتوانم حذف اضطراری کنم؟,1,
در حذف و اضافه چند واحد میتوانم بردارم؟,1,
چند واحد در حذف و اضافه میتوانم حذف کنم؟,1,
لیست دروسی که این ترم ارائه میشوند را از کجا میتوانم ببینم؟,1,
تاریخ امتحانات دروس را از کجا میتوانم ببینم؟,1,
تقویم ترم به چه صورت است؟,1,
لیست ریزنمرات دروس ام را میخواهم.,1,
میخواستم ببینم نفر چندم از نظر معدل تو ورودی مون هستم.,1,
شرایط گرفتن معرفی به استاد چجوریه؟,1,
چجوری میتونم مرخصی تحصیلی بگیرم؟,1,
تعداد غیبت های مجاز برای هر درس چند جلسه میباشد؟,1,
بوفه کجاست؟,2,
کلاس 110 کجاست؟,2,
دانشکده تا چه ساعتی باز است؟,2,
سایت دانشکده کجاست؟,2,
چجوری میتونم برم آموزش دانشکده؟,2,
دبیرخانه دانشکده کجاست؟,2,
راه رسیدن به امفی تئاتر دانشکده چجوریه؟,2,
اتاق های تشکل های دانشجویی کجاست؟,2,
میخوام با اساتید صحبت کنم.,2,
دانشکده چه روز هایی بازه؟,2,
چگونه میتوانم از دانشکده خارج شم؟,2,
اتاق رییس دانشکده کجاست؟,2,
میخوام به اتاق معاون آموزشی دانشکده بروم.,2,
آزمایشگاه ها در دانشکده طبقه چندم هستند؟,2,
انتشارات دانشکده کجاست؟,2,
میخوام برم کلاس 101.,2,
کجا میتوانم مسئول روابط عمومی دانشکده را ببینم؟,2,
انجمن علمی دانشکده کجاست؟,2,
سرپرست تیم ICPC دانشکده را کجا میتوانم ببینم؟,2,
سرویس های بهداشتی دانشکده کجا قرار دارد؟,2,
آزمایشگاه پردازش زبان طبیعی کجاست؟,2,
چگونه میتوانم از سایت دانشکده استفاده کنم؟,3,
شرایط گرفتن کتاب چجوریه؟,3,
چندتا کتاب همزمان میتوانم امانت بگیرم؟,3,
چجوری میتونم کتابی که میخوام را پیدا کنم؟,3,
چجوری میتونم شناسه بهشتی بگیرم؟,3,
چه کتاب هایی را نمیتوانم امانت بگیرم؟,3,
استفاده از سایت محدودیت زمانی دارد؟,3,
آیا میتوانم روی سایت دانشکده برنامه ای نصب کنم؟,3,
جریمه دیرکرد تحویل کتاب چقدره؟,3,
شرایط موندن تو فضای مطالعه چجوریاست؟,3,
آیا روی سیستم ها فیلترشکن نصبه؟,3,
من کتاب هوش مصنوعی راسل را میخوام.,3,
این سیستم روشن نمیشود.,3,
در فضای مطالعه حرف میزنند.,3,
کتاب فیزیک هالیدی را پیدا نمیکنم.,3,
رمزعبور اینترنت دانشکده رو میخواستم.,3,
نسخه انگلیسی کتاب فیزیک هالیدی رو دارید؟,3,
ویرایش جدید کتاب هوش مصنوعی راسل را نمیتونم پیدا کنم.,3,
تا کی میتونم کتاب رو تحویل بدم؟,3,
میتونم کتاب هایی که دارم رو به کتابخونه اهدا کنم؟,3,
کلاس ها رو لطفا حضوری کنید.,4,
ساعت بندی کلاس ها بد است.,4,
لطفا همایش های بیشتری در حوزه های مختلف برگزار کنید.,4,
لطفا جشن های بیشتری برگزار کنید.,4,
فعالیت انجمن ها و تشکل های دانشجویی بیشتر شود,4,
همچنان کانال های ارتباطی دانشکده غیر فعالن.,4,
قول داده شده که لابی جدید ساخته شود ولی خبری نیست.,4,
لطفا دوباره بوفه دانشکده را راه اندازی کنید.,4,
آسانسور دانشکده همیشه خرابه!,4,
فضای اختصاص یافته به تشکل ها خیلی کمه!,4,
لطفا محلی برای اتاق بازی تعیین کنید.,4,
لطفا زمان استراحت بین دو ترم را بیشتر کنید.,4,
لطفا فرجه قبل امتحانات را بیشتر کنید,4,
ارتباط صنعت با دانشگاه را بیشتر کنید.,4,
کلاس ها مجازی بماند.,4,
رفتار آموزش با دانشجو اصلا خوب نیست.,4,
برخی درس ها را فقط یک استاد تدریس میکند.,4,
اساتید بیشتری جذب کنید.,4,
دروس کاربردی بیشتری به چارت اضافه کنید.,4,
لطفا به نظرسنجی ها بیشتر بها بدید.,4,
اسنپ میتونه بیاد تو دانشگاه؟,5,
کدوم در دانشگاه کمتر گیر میدن؟,5,
غذاهای سلف خوبه؟,5,
چجوری میتونم سالن فوتبال اجاره کنم؟,5,
چجوری میتونم خوابگاه بگیرم؟,5,
میخوام تو خوابگاه مهمان شم.,5,
میخوام تی ای شم.,5,
چجوری میتونم برم میدان تجریش؟,5,
سرویس های خوابگاه تا کجا میرن؟,5,
کدوم بوفه غذای خوشمزه تری داره؟,5,
املت های بوفه حقوق چقدر خوشمزه بود.,5,
چجوری باید اپلای کنم؟,5,
میشه هم درس خوند هم کار کرد؟,5,
چه لپ تاپی خوبه بگیرم؟,5,
دانشگاه اردو هم میبره؟,5,
دانشگاه استخر هم داره.,5,
در استخر به دانشکده نزدیک تره.,5,
چرا وسط لابی کلاس زدن؟,5,
آمفی تئاتر خیلی سرده.,5,
سلام کیوسک.,5,
برای ثبت نام باید کجا برم؟,1,
برای حذف تک درس چه کار هایی باید انجام بدم؟,1,
تاریخ حذف و اضافه کی هست؟,1,
تاریخ نظرسنجی اساتید کی هست؟,1,
اگر حذف ترم کنم در سنواتم حساب می,1,
وضعیت معافیت از خدمت سربازی را کجا میتونم ببینم؟,1,
وضعیت حذف پزشکی ام را کجا میتونم ببینم؟,1,
برای من در سامانه گلستان نقص مدارک ثبت شده، چه کار باید بکنم؟,1,
برای مهمان شدن در دانشگاه دیگر باید چه کاری انجام دهم؟,1,
مدارک مورد نیاز برای ثبت نام شامل چه چیز هایی است؟,1,
مهلت تکمیل مدارک تحصیلی تا چه تاریخی است؟,1,
از کجا میتوانم کارنامه مهر خورده بگیرم؟,1,
شرایط حذف اضطراری چیست؟,1,
سقف تعداد واحد ترم تابستان چنده؟,1,
شروع کلاس های ترم تابستان از چه تاریخی است؟,1,
آیا کلاس های عملی این هفته تشکیل می شود؟,1,
شرایط معرفی به استاد چیست؟,1,
غیبت در امتحان چه عواقبی دارد؟,1,
بعد چند جلسه غیبت درس به دلیل غیبت حذف میشود؟,1,
برای کارآموزی چه مدارکی را لازم دارم؟,1,
دستشویی کجاست؟,2,
کتابخانه کجاست؟,2,
کجا میتونم رییس دانشکده را ببینم؟,2,
شماره اتاق دکتر شمس فرد چند است؟,2,
آیا دکتر شاملی الان در اتاقشان حضور دارند؟,2,
دانشکده پنجشنبه ها باز است؟,2,
صبح ساعت چند در دانشکده باز می,2,
آیا دانشکده در ایام کرونا باز است؟,2,
آیا بوفه در ایام کرونا باز است؟,2,
کیف پول من گمشده. کسی آن را به شما تحویل نداده؟,2,
برای گرفتن وام دانشجویی باید به کجا مراجعه کنم؟,2,
سلف غذاخوری از چه ساعتی تا چه ساعتی است؟,2,
برای رزرو غذا باید چه کار کنم؟,2,
کجا میتونم درخواست خوابگاه بدم؟,2,
آیا کلاس ۲۲ طبقه,2,
من غذا سفارش دادم هنوز نرسیده بدستتون؟,2,
برای درخواست گواهی اشتغال به تحصیل باید پیش کی برم؟,2,
برای صدور کارت دانشجویی المثنی به چه مدارکی نیازه؟,2,
آمفی تئاتر همین طبقست؟,2,
امروز استاد ابراهیمی تشریف آوردن؟,2,
کتاب هوش مصنوعی در کدام قفسه است؟,3,
مهلت تحویل کتاب تا چه مدت بعد از به امانت بردن کتاب است؟,3,
چگونه میتوانم روی سرور دانشکده اکانت بگیرم؟,3,
روی کامپیوتر های سایت اوبونتو نصبه؟,3,
جریمه,3,
آخرین چاپ کتاب هوش مال چه زمانیه؟,3,
آیا میتونم نرم افزار مورد نیازم را روی کامپیوتر های سایت نصب کنم؟,3,
آیا کتاب داستان هم دارید؟,3,
در ایام کرونا از چه ساعتی تا چه ساعتی باز هستید؟,3,
آیا در ایام کرونا اجازه نشستن پشت دو کامپیوتر بقل هم را داریم؟,3,
آیا ماسک زدن در این مکان اجباریه؟,3,
کامپیوترم کرش کرد. چیکار باید بکنم؟,3,
آیا میشه روی کامپیوتر های دانشکده گیم زد؟,3,
کتابی که قبل از کرونا به امانت گرفتم در ایام کرونا جریمه بهش تعلق میگیره؟,3,
کی کتاب طراحی الگوریتم رو میارید؟,3,
مقدار رم کامپیوترای سایت چقدره؟,3,
چند گیگ اینترنت میتونم استفاده کنم؟,3,
میتونم لپ تاپمو با کامپیوترای سایت شبکه کنم؟,3,
آیا میتونم به سرورای سایت ssh بزنم؟,3,
چطوری میتونم یک کتابو امانت بگیرم؟,3,
چرا کلاس ها حضوری نمیشوند؟,4,
چرا لابی نداریم؟,4,
چرا فرجه نداریم؟,4,
چرا وندینگ ماشین خراب است؟,4,
چرا آب دستشویی طبقه ۳ قطع است؟,4,
چرا دکتر مجیدی انقدر بد درس میده؟,4,
آسانسور خراب شده.,4,
حجم تمرین های استاد مجیدی خیلی زیاد است!,4,
میکروفن سالن آمفی تئاتر خراب شده.,4,
لطفا کامپیوتر های سایت را ارتقا دهید.,4,
لطفا مهلت نظرسنجی اساتید را تمدید کنید,4,
چرا درس هوش مصنوعی ظرفیتش انقدر کم است؟,4,
چرا درس طراحی الگوریتم را فقط یک استاد ارائه میدهد؟,4,
چرا امتحان سیگنال با هوش تداخل دارد؟,4,
لطفا زمان استفاده از سایت را در ایام کرونا بیشتر کنید.,4,
چرا آخر ترم درس ها انقدر فشرده میشوند؟,4,
لطفا برای سلامت روحی دانشجویان یک تدبیری بیاندیشید!,4,
چرا باید وسط امتحانات ددلاین داشته باشیم؟,4,
چرا فاصله,4,
تنوع محصولات بوفه را بیشتر کنید.,4,
قیمت آیفون ۱۳ چند است؟,5,
رتبه,5,
اوبونتو ام کرش میکند. چه کنم؟,5,
ارور تایپ ارور به چه معناست؟,5,
خورشید پشتش به ماست؟,5,
آیا کیبورد ریزر کیبورد خوبی است؟,5,
چگونه برنامه نویس شوم؟,5,
آیا گیم بازی کردن باعث افزایش عمر میشود؟,5,
نظریه,5,
کدام استاد بهتر درس میدهد؟,5,
چگونه میتوان عضو انجمن دانشجویی شد؟,5,
آیا وام دانشجویی دردی از ما دوا میکند؟,5,
برای کمردرد پیش کدام دکتر بروم؟,5,
آیا این الگوریتم برای حل این سوال خوب است؟,5,
چرا کوئرا داونه؟,5,
برای ماشین لرنینگ چه دوره ای خوب است؟,5,
آیا کنکور ارشد آسونه؟,5,
جایزه,5,
بخاطر آلودگی تعطیل نمیکنن؟,5,
خسته شدم از این زندگی.,5,
چطور باید ثبت نام کنم؟,1,
گلستان چیست؟,1,
رمزم رو فراموش کردم چکار انجام؟,1,
کلاس من کجا است؟,1,
چطور مهمان شوم؟,1,
کی کلاس ها شروع میشود؟,1,
پایان کلاس ها کی هست؟,1,
تقویم اموزشی کجاست؟,1,
امتحان ها کی شروع می شوند؟,1,
شروع ترم جدید کی هست؟,1,
پایان امتحانات چه تاریخی است؟,1,
کلاس ها کجا برگزار میشود؟,1,
انتخاب واحد در چه سامانه ای است؟,1,
چند واحد می تونم بردارم؟,1,
آخرین مهلت حذف کی است؟,1,
سنوات چیست؟,1,
نظرسنجی اساتید را نزدم چیکار کنم؟,1,
تا کی نظرسنجی اساتید مهلت دارد؟,1,
حذف تک درس چیست؟,1,
چطور درست بردارم؟,1,
دستشویی کجاست؟,2,
آموزش کل کجا قرار دارد؟,2,
بوفه کجاست؟,2,
دانشگاه استخر دارد؟,2,
دانشکده ادبیات کجاست؟,2,
در استخر کجاست؟,2,
سلف کجاست؟,2,
حراست کجاست؟,2,
دفتر استاد قوامی زاده کجاست؟,2,
دفتر استاد مهدیانی کدام طبقه قرار دارد؟,2,
خوابگاه کجاست؟,2,
سرویس دانشگاه کجاست؟,2,
دانشگاه چند دانشکده دارد؟,2,
سایت دانشکده کجاست؟,2,
باشگاه دانشگاه چه ورزش هایی داره؟,2,
چطور میتوان به حراست رسید؟,2,
سلف از چه ساعتی تا چه ساعتی باز است؟,2,
دکتر قوامی زاده را کجا پیدا کنم؟,2,
پارکینگ کجاست؟,2,
دانشگاه استخر دارد؟,2,
چجوری می تونم کارت کتابخونه رو بگیرم؟,3,
کتاب فیزیک هالیدی دارین؟,3,
هر کتاب را چه مدت میتوان امانت گرفت؟,3,
چطور عضو کتاب خونه بشم؟,3,
سایت بوفه دارد؟,3,
تا کی سایت بازه؟,3,
کجا میتوانم جست و جو کنم؟,3,
آخرین ویرایش کتاب clrs چند است؟,3,
بخش خانم ها و اقایان کجاست؟,3,
کتاب ریاضی ۱ کجاست؟,3,
میخواهم کتاب اهدا کنم؟,3,
در کدام طبقه کتابخانه می شود کار گروهی انجام داد؟,3,
کجا کتاب ها را تحویل دهم؟,3,
کتاب پترسون را میخواهم کجاست؟,3,
آیا ترجمه ی فارسی هم را دارید؟,3,
ایا در سایت کامپیوتر است؟,3,
چطور کتابی را رزوز کنم؟,3,
روز و ساعت کاری کتابخانه به چه صورت است؟,3,
کامپیوتر سایت اینتدنت دارد؟,3,
نرم افزار نیاز دارم کجاست؟,3,
تعداد آبخوری ها را افزایش دهید,4,
تعداد کلاس های درسی را افزایش دهید,4,
اینترنت دانشکده بسیار کند است,4,
چرا فیلم های ضبط شده ی کلاس ها را نمی توانیم دانلود کنیم؟,4,
چرا کلاس ها را حضوری نمی کنید؟,4,
زمان کلاس های مجازی بسیار طولانی هستند,4,
فشار امتحانات مجازی را کمتر کنید,4,
بعضی کلاس ها را حضوری برگزار کنید,4,
ظرفیت درس ها را افزایش دهید چون مجازی است,4,
چرا بازه ی امتحانات انقدر کوتاه است؟,4,
آسانسور سریع تر قرار دهید,4,
تعداد آسانسورها را افزایش دهید,4,
بازه کاری مسئولان آموزش را افزایش دهید,4,
برای خواندن بهتر و جمعبندی دروس فرجه قرار دهید,4,
تعداد طبقات کتابخانه را افزایش دهید,4,
چرا زمان آزمون ها در مجازی انقدر کم است؟,4,
چرا اساتید وقتی به پایان ترم میرسد کلاس های جبرانی چندین ساعته بر گزار می کنند,4,
چرا ابتدای ورود به دانشگاه در رابطه با استعداد درخشان توضیحاتی داده نمی شود؟,4,
به چه علت لابی دانشکده کامپیوتر را به کلاس تبدیل کرده اند؟,4,
مکانی برای تعامل درسی بین دانشجویان ایجاد کنید,4,
دانشجویان کجا رفتند؟,5,
تعداد اساتید کل دانشگاه چقدر است؟,5,
غذای سلف تازه است؟,5,
سلف چه غذایی دارد؟,5,
چگونه دستیار اموزشی شوم,5,
بوفه ها مواد غذایی را از کجا میگیرند,5,
سلف ها مواد غذایی را از کجا میگیرند,5,
چه اساتیدی ریکامندیشن میدن؟,5,
چطور ریکام بگیرم,5,
تعداد دانشجویان چقدر است,5,
چطور وارد انجمن های دانشجویی شوم,5,
چطور با ماشين وارد شوم,5,
چطور میتوان تدرس کرد,5,
هییت علمی چه کسانی هستند؟,5,
فریلنسر چگونه شوم,5,
کجا کار کنم,5,
چه رشته هایی ارایه میشود,5,
سال تاسيس کی است,5,
کدام رشته ها بازار کار بهتری دارند؟,5,
حداکثر واحد مجاز چند است؟,1,
معدل دانشکده چند است؟,1,
ترم تابستان از کی شروع میشود؟,1,
شرایط اخذ ترم تابستانی چیست؟,1,
با چه معدلی مشروط میشوم؟,1,
اگر مشروط شوم، چی میشه؟,1,
قیمت هر واحد در ترم تابستان چند است؟,1,
چطور میتوانم نمراتم را ببینم؟,1,
جطور میتوانم به نمره ام اعتراض کنم؟,1,
دوره ی کهاد چیست؟,1,
امتحانات از کی شروع میشود؟,1,
جدول امتحانات را کجا میتوانم ببینم؟,1,
دروس این ترم را کجا میتوانم ببینم؟,1,
کارنامه ام را چطوری میتوانم بگیرم؟,1,
از کجا باید گواهی اشتغال به تحصیل بگیرم؟,1,
ریزنمراتم را چگونه میتوانم بگیرم؟,1,
چگونه میتوانم مدرکم را بگیرم؟,1,
چند غیبت در این ترم برایم ثبت شده است؟,1,
شرایط حذف درس چگونه است؟,1,
چطوری تغییر رشته بدم؟,1,
چگونه میتوانم ترمم را حذف کنم؟,1,
دانشکده تا ساعت چند باز است؟,2,
دانشکده ساعت چند باز میشود؟,2,
آیا دانشکده پنج شنبه ها باز است؟,2,
میشود با خودم همراه به دانشکده بیاورم؟,2,
نمازخانه کجاست؟,2,
لابی کجاست؟,2,
اتاق اساتید کجاست؟,2,
دانشکده سایت کامپیوتر داره؟,2,
کتابخانه کجاست؟,2,
دانشکده اتاق بازی داره؟,2,
آیا میشه تو لابی نهار خورد؟,2,
آموزش کجاست؟,2,
کجا میشود رییس دانشکده را دید؟,2,
کارت دانشجویی ار کجا بگیرم؟,2,
سلف دانشگاه کجاست؟,2,
چگونه نهار رزرو کنم؟,2,
کلاس 101 کجاست؟,2,
آبخوری و دستشویی کجاس ؟,2,
تا کی میشود نهار رزرو کرد؟,2,
میشه تو نمازخونه خوابید؟,2,
تو نمازخونه نماز جماعت میخونن؟,2,
چطور میتونم عضو کتابخونه بشم؟,3,
چند کتاب همزمان میتوانم قرض بگیرم؟,3,
اگه کتاب رو نیارم چی میشه؟,3,
چند جلد کتاب دارین؟,3,
