id,query,label
228,آموزش ما چه ساعتایی هستن؟,2
229,آسانسور خراب شده لطفا رسیدگی کنید,4
230,رشته مهندسی کامپیوتر چند واحد درس اختیاری دارد؟,1
231,شرایط سنوات دانشجوییی به چه صورت است؟,1
232,چقدر زمان برای برگرداندن کتاب هست؟,3
233,کتاب فیزیک هالیدی را پیدا نمیکنم.,3
234,طبقه اول چند سرویس بهداشتی دارد؟,2
235,چگونه می توانم گواهی اشتغال به تحصیل را دریافت کنم؟,1
236,آیا دانشگاه کتابخانه الکترونیکی دارد؟,3
237,آیا آواز خواندن در دانشگاه مشکل دارد؟,5
238,چطور بدون درس خوندن پاس کنیم؟,5
239,کلاس ها از چه روزی شروع میشن؟,1
240,سایت دانشکده کجاست؟,2
241,آسانسور دانشکده کجا میباشد؟,2
242,چرا ایلان ماسک پولدار است؟,5
243,خوابگاه از کدوم مسیر نزدیک تره؟,2
244,تا کی سایت بازه؟,3
245,چطوری شناسه بهشتی بگیرم؟,5
246,نت دانشگاه پشت یه فایرواله ؟,3
247,استاد آزمایشگاه دیتابیس چه کسی است؟,1
248,شماره ی دفتر استاد مهدیانی چنده؟,2
249,دروس این ترم را کجا میتوانم ببینم؟,1
250,ریز نمراتم رو چطور باید بگیرم؟,1
251,لطفا تعداد آبخوری ها را بیشتر کنید,4
252,کجا میتونم درخواست خوابگاه بدم؟,2
253,اتاق های تشکل های دانشجویی کجاست؟,2
254,آیا عدم اطلاع دانشجو از آیین نامه های آموزشی، حقی را برای وی ایجاد می نماید؟,1
255,کمترین میزان واحدی که میتونم بردارم چند تا است؟,1
256,شرایط حذف پزشکی چیست؟,1
257,کلاس های حضوری را هم ضبط کنید,5
258,اتاق استاد علی اکبری کجاست,2
259,چارت درسی پیه؟,1
260,آیا وام دانشجویی دردی از ما دوا میکند؟,5
261,آزمایشگاه سخت افزار کجاست؟,2
262,برای اینکه مهمان بشم یه دانشگاه دیگه باید چه شرایطی داشته باشم؟,5
263,شورای صنفی داریم یا نه؟,5
264,شرایط کارآموزی چیه؟,1
265,امتحان زمان بندیش خوب نیست,1
266,سایت باز است؟,2
267,در حذف و اضافه چند واحد میتوان برداشت؟,1
268,پول ترم تابستان رو میتونم پس بگیرم با حذف درس؟,2
269,چگونه شماره ثبت شده در سامانه گلستان را تغییر بدهم؟,1
270,تعداد کتاب هایی که می تونم به امانت بگیرم؟,3
271,مزایای معدل الف بودن چیست؟,1
272,دانشکده ریاضی چند استادیار دارد؟,2
273,قیمت لبتاب مک بوک پرو چند است؟,5
274,امکانات لابی دانشکده را بیشتر یا با کیفیت تر کنید از جمله صندلی ، میز ، ابخوری ، گرم کردن غذا و...,4
275,شرایط حذف ترم چیست؟,1
276,میخواهم تسویه کنم.,3
277,نامه گواهی اشتغال به تحصیل رو حضوری هم میشه گرفت؟,1
278,حراست کجاست؟,2
279,شروع مهلت حذف ترم کیه ؟,1
280,لابی رو چرا خراب کردید؟,4
281,امکانات آزمایشگاهی دانشکده چطور است؟,5
282,نمازخانه ی دانشکده کجا هست؟,2
283,آبخوری کجاست؟,2
284,تی ای درس مبانی برنامه نویسی کجا برگزار می شه؟,2
285,چرا بازه ی امتحانات انقدر کوتاه است؟,4
286,چطوری مریض شدم غیبتم رو توجیح کنم؟,2
287,میشود درس بازی سازی را به عنوان درس اختیاری ارائه دهید؟,4
288,ظرفیت بیشتری برای درس ها در انتخاب واحد در نظر گرفته بشه,4
289,پرده ی کلاس 104 پاره شده است.,4
290,فرجه نداریم,4
291,استاد محمدی خیلی محترمه,4
292,امکانات واحد it دانشگاه جه جیزهایی است ؟,2
293,آیا فرجه داریم؟,1
294,پروژکتور کلاس 102 برعکس نصب شده.,4
295,اتاق بازی کجاس ؟,2
296,اگه توی هشت ترم واحدامو پای نکنم چی میشه؟,1
297,کلاس ها مجازی بماند.,4
298,مهلت افزایش صنوات چی هست ؟,1
299,ایا در ترم تابستان میتوان دروس تخصصی برداشت؟,1
300,چند تا بوفه در دانشگاه وجود دارد؟,5
301,کیفیت کلاس های مجازی بسیار بد است!,4
302,مهلت حذف تک درس؟,1
303,انجمن علمی کجاست,2
304,دانشکده پنج شنبه ها بسته است؟,2
305,چجوری میشه تمدید کرد؟,3
306,کتابخونه میزهاش تحمل وزن پایینی دارن.,4
307,چرا آبخوری دانشکده را برداشتید؟,4
308,چگونه کارت دانشجویی ام را تحویل دهم؟,2
309,به چه علت لابی دانشکده کامپیوتر را به کلاس تبدیل کرده اند؟,4
310,چگونه نرم افزار فتوشاپ را نصب کنم؟,5
311,ترم آخرم کمکم کنید.,1
312,چه زمان هایی می توانیم از سایت دانشکده استفاده کنیم؟,3
313,ترم بعد هم کلاس ها مجازی هست؟,2
314,کجا میشود رییس دانشکده را دید؟,2
315,کتابخونه کتاب فروشی هم داره؟,3
316,ابنتو داره سیستم ها,3
317,کارنامه کل را در کدام قسمت میتوان دید؟,1
318,حراست دانشگاه کجاست؟,2
319,می خواهم فرم اشتغال به تحصیل بگیرم.,1
320,تا چه زمانی میتوانم از کتاب استفاده کنم؟,3
321,درمانگاه کجاست؟,2
322,فرو نشست سطح خاک در ایران چه اوضاعی دارد؟,5
323,راه ارتباطی با رییس دانشگاه چیه؟,2
324,اگه کرونا گرفتیم چی کار کنیم؟,5
325,درس مدرسه تکمیلی به صورت کارآمد و مناسب برای آمادگی کارآموزی ارائه شود.,4
326,دانشکده تا ساعت چند باز است؟,2
327,چرا برای امتحانات فرجه در نظر گرفته نشده است؟,4
328,چرا امتحان سیگنال با هوش تداخل دارد؟,4
329,هزینه آزادسازی مدرک لیسانس چه قدراست؟,5
330,وندینگ ماشین کجاست,2
331,ظرفیت سالن کتابخانه چقدر است؟,3
332,پیش نیاز های درس هوش مصنوعی چی هست؟,1
333,برای اپلای چه شرکت مهاجرتی خوبی می شناسید؟,5
334,اینترنت وای فای دانشکده قطع شده است.,4
335,در آزمون درس ریزپردازنده حاضر نشده ام چه باید کنم؟,1
336,حداکثر تعداد واحد های مجاز برای هر ترم چند تاست؟,1
337,چگونه لینوکس نصب کنم؟,3
338,چرا بخاری ها کار نمیکنه؟,4
339,ساعت کلاس ها را از 10 به بعد بزارید,4
340,جشن دانشکده کی است؟,2
341,رییس بوفه را کجا میتوانم ببینم؟,2
342,ساعت اداری دانشکده کی تموم میشه؟,2
343,میتونم دوستم رو به عنوان مهمان به دانشگاه بیارم؟,2
344,میتونم دوستم رو بیارم دانشگاه؟,5
345,امتحان گرفتن با سیستم نمره دهی خودکار حق دانشجو را ضایع میکند.,4
346,شیشه های درب ورودی خیلی کثیفه,4
347,پروژکتور کلاس 203 خراب شده است.,4
348,کجا انتخاب واحد انجام میدهیم؟,1
349,رمز کامپیوتر توی سایت چنده؟,3
350,توی دانشکده کیا هیئت علمین؟,2
351,تقویم آموزشی دانشکده را می خواستم.,1
352,هرچه سریعتر دانشگاه را حضوری کنید,4
353,دستشویی دانشکده برق کجا است؟,2
354,چگونه کارت عضویت در کتاب خانه تهیه کنیم؟,3
355,رمز شناسه بهشتی را چطور دریافت کنم؟,3
356,جطور میتوانم به نمره ام اعتراض کنم؟,1
357,کانتر یا ولورانت؟,5
358,امتحانات کی تموم میشه؟,1
359,فرصت تحویل مدارک برای ورودی های جدید تا چه زمانیست؟,1
360,این نام کاربری و رمز گلستان که به من دادین کار نمی کنه، چی کار باید بکنم؟,1
361,جلوی استادانی که به بهانه مجازی بودن پروژه های بیش از حد سنگین میدهند را بگیرید.,4
362,استاد محمدی بدعنقه,4
363,تا چند ترم میتونم اینجا باشم؟,1
364,کجا کارنامه را مهر میکنند؟,1
365,دفتر استاد مهدیانی کدام طبقه قرار دارد؟,2
366,مدارک ثبت نام را باید کجا تحویل بدهیم؟,2
367,شرایط حذف درس چگونه است؟,1
368,سالن بدنسازی کجا دانشگاهه؟,5
369,زمان ارزشیابی اساتید کی هست؟,1
370,از برجام چه خبر؟,5
371,من کتاب هوش مصنوعی راسل را میخوام.,3
372,لطفا درب سالن آمفی تئاتر را باز کنید.,2
373,کلاسها در کدام دانشکده برگزار می,2
374,چطور دوتا درس رو همنیاز کنم؟,1
375,رمز اکانت ام رو فراموش کردم چجوری لاگین کنم؟,3
376,ایمیل بهشتی من خرابه.,1
377,سها رو را بندازین.,4
378,چگونه میتوانم روی سرور دانشکده اکانت بگیرم؟,3
379,انتخاب واحد چه تاریخیه؟,1
380,آیا رییس دانشکده به دانشجویان زمان ملاقات می دهد؟,1
381,چگونه میتوان در درسی مهمان شد؟,1
382,سرویس های بهداشتی دانشکده کجا قرار دارد؟,2
383,هزینه عضویت کتابخانه چقدر است؟,3
384,نمره درس کارآموزی پاس و رد هست؟,1
385,روز و ساعت کاری کتابخانه به چه صورت است؟,3
386,مهلت فرجه چقدر است؟,1
387,خوابگاه تا ساعت چند راه میدن؟,2
388,فلان استاد در تایم خارج کلاس حضور غیاب کرده,4
389,راهی هست که قبل شروع مهلت حذف تک درس بشه درسی رو حذف کرد ؟,1
390,شهریه ترم های تابستونی چقدره؟,1
391,دسته بندی کتاب ها چیست؟,3
392,امکان نظزسنجی درباره تدریسیار ها وجود دارد؟,1
393,برای امتحانات فرصت مطالعه بسیار کم است,4
394,لطفا دانشگاه را حضوری نکنید.,4
395,اتاق دکتر شمس فرد کجاست؟,2
396,ساعت کلاس ها را بعد از مشخص شدن در سامانه گلستان تغییر ندهید,4
397,دانشگاه چند دانشکده دارد؟,2
398,انتخاب واحد ترم بعد کی هست,1
399,چرا لابی دانشکده بدون توجه به خواست دانشجویان حذف شد.,4
400,تهویه هوای آمفی تئاتر کار نمیکند.,4
401,سه راهی می خوام، از کجا بگیرم؟,2
402,میشود تعداد کمدها را بیشتر کنید؟,4
403,لابی رو چرا اینجوری کردین؟,4
404,کارت دانشجویی گم شده است.,3
405,در روز ها تعطیل رسمی در دانشکده بسته است؟,2
406,مطالبی که تدریس میشود دیگر بروز نیستند.,4
407,اتاق نشریه را کجا می توانم پیدا کنم؟,2
408,شرایط برگزاری امتحانات مجازی خیلی سخت است وما را مجبور ببه تقلب میکند.,4
409,معدل بالای 17 چند واحد می تواند بردارد؟,1
410,آیا پس از این که واحدی را افتادیم باید هزینه ای پرداخت کنیم؟,1
411,چرا نمیتوان الگوریتم را بجز یک نفر با شخص دیگری برداشت؟,1
412,ادرس دانشکده شیمی جدید کجاست,2
413,رییس داشگاه توسط چه کسی انتخاب میشود؟,5
414,امروز چندمه؟,5
415,چطور باید نهار رزرو کنم؟,2
416,کجا سیستم هست که کتابها رو جستجو کنم؟,3
417,آیا کتاب مبانی برنامه نویسی را دارید؟,3
418,مسئول زمان بندی دروس کیست؟,2
419,فرصت کارآموزی چگونه است؟,1
420,چگونه چمن فوتبال دانشگاه را رزرو کنیم؟,2
421,تا کی نظرسنجی اساتید مهلت دارد؟,1
422,حداکثر تعداد واحدی که یک مشروطی میتواند بردارد ؟,1
423,سایت کتابخونه چی بود؟,3
424,عضویت هزینه دارد؟,3
425,آمفی تئاتر خیلی سرده.,5
426,مسئول سایت دانشکده کیه؟,3
427,رمز سیستم چیه,3
428,چه نسخه هایی از کتاب سیستم عامل سیلبرشتز موجود است؟,3
429,چند کتاب همزمان میتوانم قرض بگیرم؟,3
430,غیبت در امتحان چه عواقبی دارد؟,1
431,آیا سایت مخصوص دانشجو های تحصیلات تکمیلی است؟,3
432,حذف و اضافه تا کی وقت داره؟,1
433,منوی کافه بهشت چی داره,5
434,ترم تابستان چند واحد می توان برداشت؟,1
435,آیا می توانم سیستم عامل جدید روی کامپیوتر های سایت نصب کنم؟,3
436,برای پر کردن فرم سلامت روان تا کی وقت دارم؟,1
437,امتحان ها و تمرین ها با سطح اموزش مجازی تناسب ندارند.,4
438,از کجا میتوانم ریز نمرات را بگیرم؟,1
439,چه درس هاثی برای ترم تابستان ارایه می شود؟,1
440,غذاهای سلف افتضاحن.,4
441,آمفی تئاتر کجاست,2
442,ما نیاز داریم کلاس ها ضبط شوند.,4
443,ایا برای ورود به دانشگاه کارت دانشجویی الزامی است؟,2
444,فردا دانشگاه باز هست؟,2
445,حداقل واحد هر ترم چنتاس؟,1
446,نحوه شرکت در مسابقات دانشکده چگونه است؟,5
447,در تابستان دانشکده باز است؟,2
448,کارت آسانسور از کجا میتونم بیارم؟,5
449,پیش نیاز کارآموزی چیه؟,1
450,مراحل حذف اضطراری چگونه است؟,1
451,امکانات بیشتری در اختیار انجمن های دانشکده قرار دهید,4
452,چرا تایم کلاسا ایجوریه؟,4
453,کارگاه کامپیوتر کجا برگزار میشود؟,2
454,صندوق کمک های اولیه کجاست؟,2
455,همچنان کانال های ارتباطی دانشکده غیر فعالن.,4
456,کتابخونه کی باز میشه؟,3
457,چرا بعضی اساتید بدون توجه به مشکلات آموزش مجاز کلاس های آنلاین را ضبط نمی کنند؟,4
458,چرا درس مهندسی نت ظرفیتش انقدر کمه؟,1
459,نام کاربری برای ورود به سایت چیست؟,3
460,نمازخانه دانشکده کجا است؟,2
461,تقویم ترم به چه صورت است؟,1
462,بوفه را فعال کنین.,4
463,لطفا محلی برای اتاق بازی تعیین کنید.,4
464,آیا برای ورود به دانشگاه باید کارت واکسن داشته باشیم؟,5
465,آمفی تئاتر کجاست؟,2
466,زمان انتخاب واحد کی است؟,1
467,تاریخ انتخاب واحد چه روزی است؟,1
468,نزدیکترین فرودگاه به دانشگاه کجاست؟,2
469,نزدیک ترین پارک به اینجا کجاست؟,5
470,اینترنت دانشگاه کند میباشد,4
471,سلف چه غذایی دارد؟,5
472,آیا تاریخ امتحان هوش با رباتیکز یکیه؟,1
473,کلاس من کجا است؟,1
474,استاد شمس فرد تمرین زیاد میده.,4
475,آدرس سایت دانشگاه چیست؟,3
476,تعداد واحد های کارآموزی را بیشتر کنید.,4
477,افزایش سطح کیفیت غذا سلف,4
478,ایمیل استاد جهانیان چیه؟,2
479,برای ثبت نام باید چکار باید بکنم؟,1
480,یکی از کلاس ها کفش کثیف شده، مسئول نظافت دانشکده رو کجا می تونم پیدا کنم؟,2
481,چند واحد درس تخصصی در طول تحصیل داریم؟,1
482,شماره آموزش دانشکده چند است؟,2
483,تعداد کلاس های درسی را افزایش دهید,4
484,آیا میتوان واحد اختیاری در دانشگاهی دیگر پاس کرد ؟,1
485,کجا میتوانم غذایم را,2
486,کی کتاب را بیاورم؟,3
487,خانه گران شئ؟,5
488,رئیس دانشکده کیست؟,1
489,آدرس دقیق دانشگاه چیست؟,5
490,سامانه نمی گذارد انتخاب واحد کنم. مشکل چیست؟,1
491,هزینه ون داخل دانشگاه چقدر است؟,5
492,امروزسلف تعطیل نیست.,5
493,کدام الگوریتم برای پروژه هوش مناسب تر است؟,5
494,امتحانات از کی شروع میشود؟,1
495,تاریخ تاسیس دانشکده؟,2
496,برگه,2
497,امتیاز های تحصیل در این دانشکده چیست؟,5
498,چراغ های کلاس 115 سوخته است. لطفا تعویض کنید,4
499,مولانا در چه قرنی زندگی می کرد؟,5
500,امروز سلف چه غذایی دارد؟,5
501,آیا درس کارآفرینی به جای 2 واحد اختیاری حساب می شود ؟,1
502,ایمیل دکتر جهانیان چیه؟,2
503,در کدام طبقه کتابخانه می شود کار گروهی انجام داد؟,3
504,مسیر رفتن به بخش کتاب های علمی و تخیلی چیست؟,3
505,حراست کجاست؟,5
506,چه کسی مسئول حراست است؟,2
507,چه سازمان ها ، شرکت ها و کارگاه هایی برای گذراندن دوره مورد تایید می باشد ؟,1
508,بهتره کلاس ها پرجمعیت توی آمفی تئاتر برگزار شه.,4
